127.0.0.1 - - [02/Feb/2026 06:17:15] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:16] "GET /productPage.html?id=12345 HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /styles/navbar.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /styles/productPage.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /styles/index.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /scripts/productPage.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /components/navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:17] "GET /components/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /cart.html HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /styles/navbar.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /styles/index.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /scripts/cart.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /styles/cart.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /components/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:18:18] "GET /components/navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /productPage.html?id=12345 HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /styles/productPage.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /styles/index.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /styles/navbar.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /scripts/productPage.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /components/navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:07] "GET /components/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /productPage.html?id=12345 HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /styles/navbar.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /styles/productPage.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /styles/index.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /components/navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /components/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:19:31] "GET /scripts/productPage.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /productPage.html?id=12345 HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /styles/productPage.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /styles/index.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /styles/navbar.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /components/navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /components/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2026 06:20:20] "GET /scripts/productPage.js HTTP/1.1" 200 -
